代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00127,华人置业,-5.5,21.37,271941477.6,-350900066.78,-10.6088856692,81.5731495671,-3.240563450771,2025-12-31,HKD
00128,安宁控股,26.51,6.44,17992142.4,21933794.48,5.9630831427,407.2368421053,2.368364332535,2025-12-31,HKD
00129,泛海集团,-0.07,2.74,2221557266.73,-3461160661.02,38.7238012587,35.2474605486,-28.696418022383,2025-03-31,HKD
00130,慕诗国际,-1.11,5729.81,94794943.26,-52182345.18,-25.1902615231,-17.5592515593,-15.730643402399,2025-03-31,HKD
00131,卓能（集团）,-1.16,8.81,153678166.2,-902100028.05,-10.3838504164,-676.1943871667,-15.883376845941,2025-06-30,HKD
00132,兴业控股,28.35,3.39,798156546.38,10802511.2,10.6033828893,-80.3020570845,1.058328875698,2025-12-31,HKD
00133,招商局中国基金,2.04,30.16,1761851912.8768,1335035258.4832,56.2262793376,57.8195182813,25.632084733019,2025-12-31,HKD
00135,昆仑能源,10.09,597.46,193979000000.0,5346000000.0,3.7065748532,-10.3020134228,8.044783531218,2025-12-31,HKD
00136,中国儒意,11.57,230.17,3342975000.0,1796636000.0,-8.9296222036,1042.9526643679,8.935340410824,2025-12-31,HKD
00137,金辉集团,10.74,3.13,1109527189.86,26318927.58,-0.8879967146,-50.7928466488,1.758771980123,2025-12-31,HKD
00138,中建富通,-0.22,0.71,547351320.0,-295352940.0,14.3396226415,17.4242424242,-63.495145631068,2025-12-31,HKD
00139,小鱼盈通,-1.17,1.6,-20142709.22,-123607463.44,-129.4565963967,-64.6141817526,-18.811297335117,2025-12-31,HKD
00142,第一太平,4.13,212.68,71922196000.0,4646036800.0,1.7430298691,10.1116108612,15.898977751052,2025-12-31,HKD
00144,招商局港口,9.19,593.18,12061599880.0,5832091540.0,12.7681134943,-18.461927011,6.02815691693,2025-12-31,HKD
00145,信能低碳,-3.29,0.69,45967575.46,-18998329.48,-1.9402697495,-30.5567624604,-41.966859867719,2025-12-31,HKD
00146,TAI PING CARPET,7.92,3.31,600800867.55,39925171.0,2.9043368243,3.9583976444,9.368914378651,2025-06-30,HKD
00147,国际商业结算,-6.64,16.86,171826331.85,-211094594.01,7.2002256907,-283.3662934906,-54.866513718008,2025-03-31,HKD
00148,建滔集团,22.62,995.82,40983620145.08,3975621280.98,5.2949403772,169.9828684885,7.071418830553,2025-12-31,HKD
00149,中国农产品交易,112.98,6.07,489802173.63,7228527.39,-8.352327276,6.5279477764,0.473995739303,2025-03-31,HKD
00150,HYPEBEAST,-8.5,3.0,615085574.43,-19408037.73,-25.5825923461,-194.2798224772,-4.637859496961,2025-03-31,HKD
00151,中国旺旺,10.8,495.67,23510737000.0,4335565000.0,-0.3204822862,8.6478699022,25.41908095702,2025-03-31,HKD
00152,深圳国际,6.36,142.96,14763444317.34,2031748229.0,4.9756030831,-21.6887477162,6.607873740775,2025-12-31,HKD
00154,北京控股环境集团,2.66,6.83,1420814000.0,232178000.0,-14.6209056537,-18.8617198612,6.20845927913,2025-12-31,HKD
00156,力宝华润,-15.14,9.28,780797561.2,-55341192.62,11.4997768611,91.0382946857,-3.364991859511,2025-12-31,HKD
00157,自然美,87.04,9.21,486682935.82,9556970.82,52.3623572392,110.2118419148,2.296288740785,2025-12-31,HKD
00158,万邦投资,-3.03,14.53,149953313.08,-584728083.78,1.5958828696,-309.6145359658,-9.502302019054,2025-09-30,HKD
00159,布莱克万矿业,-27.33,7.42,,-31564413.4,,-159.0330788804,-7.249057006842,2025-06-30,HKD
00160,汉国置业,-0.78,6.77,934562860.62,-623195404.47,-6.7924510936,-14867.3081128362,-6.256780578612,2025-03-31,HKD
00162,世纪金花,-0.13,6208.35,347243000.0,-417925000.0,-2.8783276556,22.3319104018,-122.718436909055,2025-12-31,HKD
00163,英皇国际,-0.27,9.49,1269701494.74,-4377170947.32,41.4707476096,-131.752713926,-24.607462868803,2025-03-31,HKD
00164,中国宝力科技,-20.51,1.78,44522856.18,-491868.39,-12.7464100987,98.268074736,0.151030649588,2025-03-31,HKD
