代码,名称,PE_TTM,总市值_亿,营业收入,净利润,报告期,币种
003816,中国广核,22.57784291,2141.148858816,75696558973.53,9765358959.88,2025-12-31,CNY
600309,万华化学,15.97004337,2102.111696859,203234573814.42,12527201094.15,2025-12-31,CNY
603288,海天味业,28.2704027,2058.0868328048,28873380466.76,7038465194.15,2025-12-31,CNY
688783,西安奕材,-267.30390907,2009.20928,2649224611.94,-738170786.01,2025-12-31,CNY
600690,海尔智家,10.57612561,1979.617619115,302346783918.3,19552798222.85,2025-12-31,CNY
002714,牧原股份,20.16219757,1972.0554366744,144144965371.68,15486891254.04,2025-12-31,CNY
601668,中国建筑,5.1625533,1958.5865070456,2082141811000.0,39069002000.0,2025-12-31,CNY
002050,三花智控,47.04173998,1922.6415669015,31011744510.27,4062891412.1,2025-12-31,CNY
603256,宏和科技,613.1884765,1908.67739895,1171033778.05,201913337.03,2025-12-31,CNY
601066,中信建投,16.93306117,1907.3712505823,23321714460.73,9439423821.46,2025-12-31,CNY
601985,中国核电,22.78772434,1875.8017891488,82075495244.95,9304211536.74,2025-12-31,CNY
300124,汇川技术,39.52920609,1873.9326896424,45104844200.13,5050002089.89,2025-12-31,CNY
601818,光大银行,4.95230684,1873.0119686337,126311000000.0,38826000000.0,2025-12-31,CNY
688072,拓荆科技,112.65885672,1852.4024997324,6519094874.63,926703966.52,2025-12-31,CNY
688146,中船特气,514.22117584,1851.88235397,2259975196.99,345520085.37,2025-12-31,CNY
601336,新华保险,5.00608486,1847.39549652,157745000000.0,36284000000.0,2025-12-31,CNY
600406,国电南瑞,22.05817853,1835.2562816460002,66228963223.21,8278971723.32,2025-12-31,CNY
000063,中兴通讯,40.41670771,1808.6545407747,133895460000.0,5617745000.0,2025-12-31,CNY
688498,源杰科技,507.72830071,1807.74547404,601434509.56,190924031.75,2025-12-31,CNY
002352,顺丰控股,15.84381057,1807.5802631774,308226647000.0,11117216000.0,2025-12-31,CNY
600025,华能水电,21.1638327,1807.216142929,26595330703.95,8504138221.82,2025-12-31,CNY
300760,迈瑞医疗,22.72384018,1780.8339195072,33282159404.0,8135775409.0,2025-12-31,CNY
000657,中钨高新,91.1315729,1776.1721298,17638510948.37,1280667298.04,2025-12-31,CNY
301377,鼎泰高科,285.17787601,1772.7371913126,2143538078.96,433634347.56,2025-12-31,CNY
601600,中国铝业,12.08318242,1772.1085380791,241125217000.0,12673918000.0,2025-12-31,CNY
601688,华泰证券,9.92659488,1741.2820243194,35809920255.16,16383497118.1,2025-12-31,CNY
600111,北方稀土,62.73328269,1717.8792881184,42563083233.34,2251272073.68,2025-12-31,CNY
600989,宝丰能源,13.39037389,1683.739456,48037593136.78,11350295509.65,2025-12-31,CNY
600522,中天科技,52.65349646,1681.5602935404002,52499857493.34,2902294275.49,2025-12-31,CNY
600031,三一重工,19.89844891,1675.3298084214002,89699505000.0,8408057000.0,2025-12-31,CNY
002281,光迅科技,159.9233991,1656.911994608,11928697127.38,946320781.21,2025-12-31,CNY
600176,中国巨石,43.01424615,1644.0882541895999,18880860110.36,3285461018.68,2025-12-31,CNY
601100,恒立液压,59.33030504,1642.6397972992002,10941028858.98,2734121067.32,2025-12-31,CNY
601766,中国中车,12.13286852,1638.7051394248,273063098000.0,13181015000.0,2025-12-31,CNY
600887,伊利股份,13.40363446,1619.9248668187,115931105774.99,11565166497.81,2025-12-31,CNY
000792,盐湖股份,15.60136918,1609.1672097181,15501243782.06,8475535262.69,2025-12-31,CNY
600016,民生银行,5.3282166,1563.0323405214,142865000000.0,30563000000.0,2025-12-31,CNY
302132,中航成飞,44.37393529,1539.124632576,75358958001.86,3432289851.96,2025-12-31,CNY
601995,中金公司,13.52365562,1531.6886042164,28481073842.0,9790532489.0,2025-12-31,CNY
688525,佰维存储,38.71746818,1529.1491954112,11302479960.23,853035235.09,2025-12-31,CNY
000988,华工科技,89.05050028,1513.281574035,14354760508.18,1470794704.16,2025-12-31,CNY
600999,招商证券,11.26224086,1499.2812213544,24971732131.98,12349522678.95,2025-12-31,CNY
601633,长城汽车,16.54118563,1498.5586007592,222824238516.25,9865280190.16,2025-12-31,CNY
000776,广发证券,9.5737134,1498.4579153565,35492783045.2,13701548267.44,2025-12-31,CNY
001289,龙源电力,35.05738332,1488.0472771920001,30252712873.6,4526216814.09,2025-12-31,CNY
002353,杰瑞股份,52.96706698,1484.6933434332998,16222988113.76,2680474679.7,2025-12-31,CNY
601991,大唐发电,18.38859542,1478.6861692696,121255419000.0,7386256000.0,2025-12-31,CNY
300604,长川科技,93.91308518,1477.1803008376,5291542093.17,1331383095.29,2025-12-31,CNY
002460,赣锋锂业,38.52851094,1466.4280661576001,23081732746.32,1612980993.34,2025-12-31,CNY
600809,山西汾酒,13.28692106,1459.077209512,38718257657.74,12246329337.25,2025-12-31,CNY
300033,同花顺,43.49172564,1452.896256,6028985966.48,3205082002.69,2025-12-31,CNY
001280,中国铀业,84.23870011,1448.3477271454,19894032393.79,1645440141.75,2025-12-31,CNY
601009,南京银行,6.47603079,1444.064654216,55541916000.0,21807089000.0,2025-12-31,CNY
001309,德明利,34.9560818,1434.458518363,10789100246.68,688329031.23,2025-12-31,CNY
603268,松发股份,40.25985032,1406.6577610470001,21639152774.73,2654607744.11,2025-12-31,CNY
600362,江西铜业,17.38440765,1389.9395831670001,544623484060.0,7130191864.0,2025-12-31,CNY
688082,盛美上海,109.30630369,1370.57459676,6786170247.76,1395929467.13,2025-12-31,CNY
600660,福耀玻璃,15.20737012,1367.7665851212,45787435563.0,9312304150.0,2025-12-31,CNY
600050,中国联通,15.74427938,1363.1289442572,392222880560.0,9126662570.0,2025-12-31,CNY
601698,中国卫通,339.43079616,1349.691139134,2644781668.57,441236300.09,2025-12-31,CNY
300999,金龙鱼,36.90863145,1348.3498150032,245125575000.0,3152894000.0,2025-12-31,CNY
002028,思源电气,41.36395626,1345.81603304,21539031405.33,3150142665.04,2025-12-31,CNY
601881,中国银河,10.19764724,1307.7545098176,28302251724.47,12519718792.04,2025-12-31,CNY
601229,上海银行,5.35880808,1298.7055843014,54761019000.0,24193414000.0,2025-12-31,CNY
605117,德业股份,35.26793047,1288.379908112,12223743462.54,3170769705.42,2025-12-31,CNY
600584,长电科技,77.92790791,1287.483783115,38871348331.23,1565238036.45,2025-12-31,CNY
301200,大族数控,124.85589864,1286.5304657969,5772935488.47,824267918.74,2025-12-31,CNY
600011,华能国际,9.21312246,1282.5342274303,229288057955.0,14409553809.0,2025-12-31,CNY
600019,宝钢股份,12.5714496,1274.2519578165,317507793966.66,10345621735.27,2025-12-31,CNY
000568,泸州老窖,12.64963619,1258.1813705724,25731010647.32,10830713936.14,2025-12-31,CNY
002008,大族激光,90.59408365,1250.453339016,18758866083.94,1189684341.25,2025-12-31,CNY
600104,上汽集团,12.36109614,1249.5366646848,656243812081.18,10105800270.34,2025-12-31,CNY
600547,山东黄金,24.0824582,1242.3760069875,104287391583.12,4739393120.72,2025-12-31,CNY
601111,中国国航,61.44581581,1221.356637388,171484646000.0,-1770393000.0,2025-12-31,CNY
300442,润泽科技,23.25532075,1209.7411127346002,5673679683.8,5049938663.92,2025-12-31,CNY
688521,芯原股份,-186.38269762,1208.3429312448,3152444709.71,-527813327.29,2025-12-31,CNY
600926,杭州银行,6.13157739,1204.0593232228,38798611000.0,19029250000.0,2025-12-31,CNY
300014,亿纬锂能,26.73264593,1197.486611185,61469630776.09,4134303670.89,2025-12-31,CNY
000408,藏格矿业,25.48776407,1192.5321045153999,3576752605.97,3852353240.98,2025-12-31,CNY
603019,中科曙光,53.68429764,1190.5373134408,14963644356.95,2176292865.25,2025-12-31,CNY
600905,三峡能源,51.53370806,1189.2462459072,28399420251.56,3714396619.2,2025-12-31,CNY
601888,中国中免,29.63883623,1184.5518667444,53693579201.52,3586177592.36,2025-12-31,CNY
600760,中航沈飞,36.28260196,1179.9664199668,44655784258.86,3517760109.76,2025-12-31,CNY
601127,赛力斯,19.77875883,1179.4981017306,165053636639.13,5956787449.91,2025-12-31,CNY
601872,招商轮船,14.71982699,1164.3484519884,28177211131.95,6012096267.97,2025-12-31,CNY
601868,中国能建,20.47323762,1163.5168192909,452929608000.0,5840294000.0,2025-12-31,CNY
603296,华勤技术,27.21937087,1163.0526604112,171436926673.4,4054292460.55,2025-12-31,CNY
688818,电科蓝天,309.36265817,1157.8334650739998,3286469322.43,327055316.42,2025-12-31,CNY
600018,上港集团,8.46694595,1157.0140370488,39611497351.53,13564589175.03,2025-12-31,CNY
600089,特变电工,18.6347361,1149.5103099025,97318077030.24,5954294958.25,2025-12-31,CNY
600346,恒力石化,12.83512286,1146.6693551394,201087300615.49,7074582387.53,2025-12-31,CNY
600160,巨化股份,26.65676706,1106.89589321,26990866988.56,3783228877.44,2025-12-31,CNY
000166,申万宏源,11.19532207,1106.765549552,24256073184.06,9507226300.42,2025-12-31,CNY
600886,国投电力,14.82840259,1102.2188598774,53014434927.3,7393381322.0,2025-12-31,CNY
601727,上海电气,85.12293162,1101.7946239924001,126678586000.0,1206219000.0,2025-12-31,CNY
601390,中国中铁,5.18718237,1101.0054980334,1093493631000.0,22891703000.0,2025-12-31,CNY
600015,华夏银行,4.05442249,1099.7215571388,91914000000.0,27200000000.0,2025-12-31,CNY
601169,北京银行,5.34965329,1097.3208837168,68036000000.0,20086000000.0,2025-12-31,CNY
002602,世纪华通,17.33986563,1089.3868471916,37898316450.4,5605170994.45,2025-12-31,CNY
688702,盛科通信,-713.50597136,1082.933,1150531395.25,-149944394.61,2025-12-31,CNY
000958,电投产融,32.67196354,1077.0116672364,12466257345.59,3293158248.3,2025-12-31,CNY
603501,豪威集团,29.1745103,1074.3208882203,28854805517.49,4045416530.33,2025-12-31,CNY
688126,沪硅产业,-60.27448945,1074.132602725,3716030112.23,-1507506599.58,2025-12-31,CNY
002493,荣盛石化,34.92015895,1073.865042305,308622318229.03,848314274.77,2025-12-31,CNY
002080,中材科技,54.60534841,1071.9853454592,30195487692.29,1817776776.61,2025-12-31,CNY
600549,厦门钨业,35.29610069,1070.6678810544,46264582688.14,2309374213.97,2025-12-31,CNY
